Index,Date, Dcount ,Close, Delta 
DJI,39883,47,6.93E+03,6.00E-04
GSPC,39883,47,7.21E+02,2.40E-03
FTSE,39881,47,3.54E+03,3.30E-03
HSI,39884,47,1.20E+04,5.90E-03
IXIC,39883,47,1.37E+03,9.80E-03
SSE,39889,47,2.22E+03,3.02E-02
DAX,39882,47,3.89E+03,5.28E-02
AUX,39882,48,8.97E+02,-2.10E-02
SSE,39890,48,2.22E+03,2.40E-03
DAX,39883,48,3.91E+03,7.00E-03
DJI,39884,48,7.17E+03,3.46E-02
IXIC,39884,48,1.43E+03,3.97E-02
GSPC,39884,48,7.51E+02,4.07E-02
HSI,39885,48,1.25E+04,4.37E-02
FTSE,39882,48,3.72E+03,4.88E-02
N225,39885,48,7.57E+03,5.15E-02
CAC,39882,48,2.66E+03,5.73E-02
FTSE,39883,49,3.69E+03,-5.80E-03
IXIC,39885,49,1.43E+03,3.80E-03
CAC,39883,49,2.67E+03,3.90E-03
DJI,39885,49,7.22E+03,7.50E-03
GSPC,39885,49,7.57E+02,7.70E-03
DAX,39884,49,3.96E+03,1.08E-02
AUX,39883,49,9.07E+02,1.10E-02
N225,39888,49,7.70E+03,1.78E-02
SSE,39891,49,2.27E+03,1.89E-02
HSI,39888,49,1.30E+04,3.60E-02
IXIC,39888,50,1.40E+03,-1.92E-02
HSI,39889,50,1.29E+04,-7.60E-03
GSPC,39888,50,7.54E+02,-3.50E-03
DJI,39888,50,7.22E+03,-1.00E-03
DAX,39885,50,3.95E+03,-7.00E-04
FTSE,39884,50,3.71E+03,5.00E-03
SSE,39892,50,2.28E+03,6.80E-03
CAC,39884,50,2.69E+03,7.50E-03
AUX,39884,50,9.23E+02,1.81E-02
N225,39889,50,7.95E+03,3.18E-02
N225,39890,51,7.97E+03,2.90E-03
CAC,39885,51,2.71E+03,4.20E-03
AUX,39885,51,9.28E+02,5.20E-03
FTSE,39885,51,3.75E+03,1.12E-02
HSI,39890,51,1.31E+04,1.86E-02
SSE,39895,51,2.33E+03,1.95E-02
DAX,39888,51,4.04E+03,2.30E-02
DJI,39889,51,7.40E+03,2.48E-02
GSPC,39889,51,7.78E+02,3.21E-02
IXIC,39889,51,1.46E+03,4.14E-02
DAX,39889,52,3.99E+03,-1.40E-02
AUX,39888,52,9.23E+02,-5.90E-03
N225,39891,52,7.95E+03,-3.30E-03
HSI,39891,52,1.31E+04,1.00E-03
SSE,39896,52,2.34E+03,5.60E-03
DJI,39890,52,7.49E+03,1.23E-02
IXIC,39890,52,1.49E+03,1.99E-02
GSPC,39890,52,7.94E+02,2.09E-02
FTSE,39888,52,3.86E+03,2.94E-02
CAC,39888,52,2.79E+03,3.18E-02
HSI,39892,53,1.28E+04,-2.26E-02
SSE,39897,53,2.29E+03,-2.00E-02
GSPC,39891,53,7.84E+02,-1.30E-02
