Index,Date, Dcount ,Close,Delta
SSE,41731,60,2059,5.63E-03
AUX,41724, 60 ,1306,-2.67E-03
DJI,41729, 61 ,16458,8.25E-03
GSPC,41729, 61 ,1872,7.92E-03
IXIC,41729, 61 ,4199,1.04E-02
FTSE,41725, 61 ,6588,-2.57E-03
DAX,41725,61,9451,2.78E-04
CAC,41725,61,4379,-1.39E-03
HSI,41729,61,22151,3.86E-03
N225,41737,61,14607,-1.36E-02
SSE,41732,61,2044,-7.43E-03
AUX,41725, 61 ,1293,-1.01E-02
DJI,41730, 62 ,16533,4.55E-03
GSPC,41730, 62 ,1886,7.04E-03
IXIC,41730, 62 ,4268,1.64E-02
FTSE,41726, 62 ,6616,4.14E-03
DAX,41726,62,9587,1.44E-02
CAC,41726,62,4411,7.35E-03
HSI,41730,62,22449,1.33E-02
N225,41738,62,14300,-2.10E-02
SSE,41733,62,2059,7.40E-03
AUX,41726, 62 ,1295,1.55E-03
DJI,41731, 63 ,16573,2.44E-03
GSPC,41731, 63 ,1891,2.85E-03
IXIC,41731, 63 ,4276,1.97E-03
FTSE,41729, 63 ,6598,-2.60E-03
DAX,41729,63,9556,-3.26E-03
CAC,41729,63,4392,-4.48E-03
HSI,41731,63,22524,3.35E-03
N225,41739,63,14300,3.01E-05
SSE,41737,63,2098,1.92E-02
AUX,41729, 63 ,1285,-8.26E-03
DJI,41732, 64 ,16573,-2.72E-05
GSPC,41732, 64 ,1889,-1.13E-03
IXIC,41732, 64 ,4238,-9.05E-03
FTSE,41730, 64 ,6653,8.21E-03
DAX,41730,64,9604,5.00E-03
CAC,41730,64,4427,8.02E-03
HSI,41732,64,22565,1.82E-03
N225,41740,64,13960,-2.38E-02
SSE,41738,64,2105,3.32E-03
AUX,41730, 64 ,1281,-2.57E-03
DJI,41733, 65 ,16413,-9.64E-03
GSPC,41733, 65 ,1865,-1.25E-02
IXIC,41733, 65 ,4128,-2.60E-02
FTSE,41731, 65 ,6659,9.62E-04
DAX,41731,65,9623,2.05E-03
CAC,41731,65,4431,9.35E-04
HSI,41733,65,22510,-2.44E-03
N225,41743,65,13910,-3.57E-03
SSE,41739,65,2134,1.38E-02
AUX,41731, 65 ,1291,7.55E-03
DJI,41736, 66 ,16246,-1.02E-02
GSPC,41736, 66 ,1845,-1.08E-02
IXIC,41736, 66 ,4080,-1.16E-02
FTSE,41732, 66 ,6649,-1.49E-03
DAX,41732,66,9629,5.67E-04
CAC,41732,66,4449,4.17E-03
HSI,41736,66,22377,-5.94E-03
N225,41744,66,13997,6.23E-03
SSE,41740,66,2131,-1.76E-03
AUX,41732, 66 ,1285,-4.50E-03
DJI,41737, 67 ,16256,6.32E-04
GSPC,41737, 67 ,1852,3.75E-03
IXIC,41737, 67 ,4113,8.15E-03
FTSE,41733, 67 ,6696,6.99E-03
DAX,41733,67,9696,6.95E-03
CAC,41733,67,4485,7.92E-03
HSI,41737,67,22597,9.73E-03
N225,41745,67,14418,3.01E-02
